VERSION,SIZE,TIME
opt,highRepetition,0.737
opt,usualRepetition,0.73
opt,usualRepetition,0.747
opt,lowRepetition,0.599
opt,highRepetition,0.743
opt,usualRepetition,0.731
opt,lowRepetition,0.608
opt,highRepetition,0.731
opt,highRepetition,0.749
opt,usualRepetition,0.737
opt,highRepetition,0.729
opt,highRepetition,0.742
opt,usualRepetition,0.736
opt,lowRepetition,0.618
opt,lowRepetition,0.619
opt,lowRepetition,0.599
opt,lowRepetition,0.616
opt,usualRepetition,0.738
opt,highRepetition,0.741
opt,usualRepetition,0.739
opt,lowRepetition,0.619
opt,lowRepetition,0.603
opt,lowRepetition,0.6
opt,usualRepetition,0.75
opt,usualRepetition,0.735
opt,highRepetition,0.76
opt,highRepetition,0.737
opt,highRepetition,0.746
opt,usualRepetition,0.735
opt,lowRepetition,0.602
vanilla,highRepetition,2173.428
vanilla,usualRepetition,2057.211
vanilla,usualRepetition,2058.029
vanilla,lowRepetition,2087.404
vanilla,highRepetition,2175.588
vanilla,usualRepetition,2056.964
vanilla,lowRepetition,2087.575
vanilla,highRepetition,2173.472
vanilla,highRepetition,2176.151
vanilla,usualRepetition,2058.972
vanilla,highRepetition,2174.212
vanilla,highRepetition,2172.317
vanilla,usualRepetition,2058.855
vanilla,lowRepetition,2086.867
vanilla,lowRepetition,2087.747
vanilla,lowRepetition,2087.086
vanilla,lowRepetition,2088.054
vanilla,usualRepetition,2056.518
vanilla,highRepetition,2172.007
vanilla,usualRepetition,2056.245
vanilla,lowRepetition,2087.601
vanilla,lowRepetition,2084.402
vanilla,lowRepetition,2088.276
vanilla,usualRepetition,2070.579
vanilla,usualRepetition,2058.204
vanilla,highRepetition,2173.839
vanilla,highRepetition,2174.184
vanilla,highRepetition,2176.454
vanilla,usualRepetition,2056.987
vanilla,lowRepetition,2089.769
umbu,highRepetition,0.097
umbu,usualRepetition,0.138
umbu,usualRepetition,0.143
umbu,usualRepetition,0.14
umbu,lowRepetition,0.378
umbu,highRepetition,0.098
umbu,highRepetition,0.098
umbu,lowRepetition,0.468
umbu,highRepetition,0.096
umbu,lowRepetition,0.406
umbu,lowRepetition,0.446
umbu,usualRepetition,0.144
umbu,usualRepetition,0.143
umbu,lowRepetition,0.389
umbu,highRepetition,0.104
umbu,lowRepetition,0.39
umbu,lowRepetition,0.391
umbu,usualRepetition,0.143
umbu,highRepetition,0.098
umbu,highRepetition,0.096
umbu,usualRepetition,0.153
umbu,lowRepetition,0.384
umbu,highRepetition,0.098
umbu,lowRepetition,0.39
umbu,highRepetition,0.099
umbu,usualRepetition,0.145
umbu,highRepetition,0.097
umbu,lowRepetition,0.385
umbu,usualRepetition,0.137
umbu,usualRepetition,0.144
