VERSION,SIZE,TIME
opt,256,0.278
opt,256,0.277
opt,128,0.065
opt,256,0.279
opt,128,0.067
opt,256,0.278
opt,64,0.02
opt,256,0.272
opt,64,0.017
opt,128,0.064
opt,128,0.066
opt,128,0.066
opt,64,0.019
opt,128,0.066
opt,256,0.275
opt,64,0.017
opt,256,0.278
opt,256,0.275
opt,64,0.02
opt,128,0.066
opt,64,0.018
opt,64,0.018
opt,256,0.274
opt,128,0.067
opt,64,0.02
opt,128,0.067
opt,128,0.065
opt,64,0.018
opt,64,0.017
opt,256,0.279
vanilla,256,261.132
vanilla,256,261.351
vanilla,128,16.392
vanilla,256,261.026
vanilla,128,16.383
vanilla,256,262.374
vanilla,64,1.037
vanilla,256,261.462
vanilla,64,1.036
vanilla,128,16.335
vanilla,128,16.387
vanilla,128,16.35
vanilla,64,1.03
vanilla,128,16.335
vanilla,256,261.161
vanilla,64,1.034
vanilla,256,262.705
vanilla,256,261.514
vanilla,64,1.035
vanilla,128,16.412
vanilla,64,1.031
vanilla,64,1.033
vanilla,256,260.917
vanilla,128,16.364
vanilla,64,1.035
vanilla,128,16.367
vanilla,128,16.465
vanilla,64,1.039
vanilla,64,1.036
vanilla,256,261.222
umbu,64,0.013
umbu,64,0.01
umbu,256,0.166
umbu,128,0.042
umbu,128,0.041
umbu,256,0.174
umbu,128,0.04
umbu,64,0.011
umbu,64,0.013
umbu,256,0.167
umbu,128,0.041
umbu,128,0.041
umbu,64,0.01
umbu,64,0.012
umbu,128,0.039
umbu,128,0.046
umbu,256,0.173
umbu,256,0.178
umbu,256,0.173
umbu,64,0.013
umbu,128,0.04
umbu,256,0.173
umbu,128,0.039
umbu,256,0.167
umbu,64,0.011
umbu,256,0.165
umbu,128,0.041
umbu,256,0.174
umbu,64,0.011
umbu,64,0.012
